,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind_Speed
155,atuona,9,PF,1621115562,71,26.13,-9.8,-139.0333,7.64
156,beloha,29,MG,1621115563,59,21.51,-25.1667,45.05,1.99
157,capitan bado,26,PY,1621115563,67,19.46,-23.2667,-55.5333,1.52
158,rabo de peixe,40,PT,1621115564,94,18.0,37.8,-25.5833,4.12
159,xinzhou,100,CN,1621115564,90,7.49,38.4092,112.7333,3.37
160,kaeo,56,NZ,1621115564,98,14.44,-35.1,173.7833,1.93
161,saint-medard-en-jalles,90,FR,1621115565,100,13.89,44.8969,-0.7214,2.57
162,ponta delgada,40,PT,1621115565,94,18.0,37.7333,-25.6667,4.12
163,port hawkesbury,1,CA,1621115565,43,12.78,45.6169,-61.3485,4.63
164,saskylakh,100,RU,1621115566,93,-11.95,71.9167,114.0833,3.68
165,katy,40,US,1621115486,65,27.22,29.7858,-95.8244,7.2
166,the pas,1,CA,1621115566,55,15.0,53.8251,-101.2541,5.66
167,gamba,41,GA,1621115566,88,25.81,-2.65,10.0,2.8
168,prince rupert,90,CA,1621115462,93,9.0,54.3161,-130.3201,4.63
169,kavaratti,100,IN,1621115567,81,28.24,10.5669,72.642,12.85
170,caravelas,58,BR,1621115567,69,22.22,-17.7125,-39.2481,2.65
171,joshimath,28,IN,1621115568,65,12.68,30.5667,79.5667,3.16
172,novikovo,62,RU,1621115568,77,14.73,51.1537,37.8879,1.1
173,santa maria,0,BR,1621115370,77,17.0,-29.6842,-53.8069,2.06
174,tilichiki,17,RU,1621115568,83,-1.26,60.4667,166.1,1.49
175,sur,9,OM,1621115569,53,31.01,22.5667,59.5289,4.27
176,yellowknife,90,CA,1621115569,86,1.67,62.456,-114.3525,3.6
177,seoul,90,KR,1621115569,94,21.0,37.5683,126.9778,0.51
178,portage,1,US,1621115570,19,20.0,41.1667,-81.1998,2.06
179,farafangana,3,MG,1621115570,87,21.47,-22.8167,47.8333,3.23
180,solnechnyy,45,RU,1621115570,65,10.29,50.7214,136.6319,3.79
181,georgetown,20,MY,1621115571,94,27.78,5.4112,100.3354,1.54
182,oranjemund,31,NA,1621115571,97,15.8,-28.55,16.4333,4.0
183,pyaozerskiy,99,RU,1621115571,89,4.34,65.8333,31.1667,2.79
184,buarcos,75,PT,1621115572,94,17.78,40.166,-8.8768,2.06
185,hilo,20,US,1621115482,40,33.0,19.7297,-155.09,4.12
186,paamiut,72,GL,1621115572,66,2.96,61.994,-49.6678,2.47
187,sibolga,81,ID,1621115573,86,25.24,1.7427,98.7792,1.32
188,caraquet,82,CA,1621115573,66,10.0,47.7941,-64.9386,3.6
189,wenling,96,CN,1621115573,94,25.0,28.3669,121.36,6.53
190,fukue,100,JP,1621115573,96,22.05,32.6881,128.8419,7.11
191,buraydah,0,SA,1621115574,16,31.0,26.326,43.975,3.6
192,hami,80,CN,1621115574,18,19.5,42.8,93.45,4.98
193,shirpur,99,IN,1621115575,34,33.67,21.35,74.8833,4.03
194,torbay,75,CA,1621115575,87,6.67,47.6666,-52.7314,2.57
195,san francisco,75,US,1621115522,63,16.11,37.7749,-122.4194,5.14
196,cacador,0,BR,1621115575,96,10.21,-26.7753,-51.015,1.48
197,konevo,100,RU,1621115576,98,14.33,62.1215,39.3192,1.87
198,ashcroft,40,CA,1621115576,25,28.0,50.7165,-121.2859,2.06
199,panormos,29,GR,1621115576,85,16.67,35.4182,24.6909,3.2
200,narsaq,10,GL,1621115577,22,11.0,60.9167,-46.05,4.12
201,saint-louis,0,SN,1621115577,19,36.0,16.3333,-15.0,1.03
202,norman wells,75,CA,1621115577,61,7.0,65.282,-126.8329,8.75
203,portland,20,US,1621115439,38,27.22,45.5234,-122.6762,2.57
204,porteirinha,79,BR,1621115578,58,20.42,-15.7433,-43.0283,3.29
205,trincomalee,100,LK,1621115578,70,28.21,8.5711,81.2335,6.79
206,jaisalmer,77,IN,1621115579,32,31.29,26.9147,70.9181,2.05
207,havelock,13,US,1621115579,38,23.89,34.8791,-76.9013,3.58
208,kinablangan,75,PH,1621115579,83,26.1,7.6947,126.5503,1.73
209,ovalle,100,CL,1621115352,48,22.07,-30.5983,-71.2003,1.36
210,amalapuram,47,IN,1621115580,85,27.75,16.5833,82.0167,2.16
211,rio claro,40,BR,1621115580,94,21.11,-22.4114,-47.5614,2.06
212,nizhneangarsk,100,RU,1621115580,98,0.96,55.7833,109.55,4.54
213,mangan,75,IN,1621115581,75,19.29,27.5167,88.5333,2.15
214,sao filipe,35,CV,1621115467,72,23.11,14.8961,-24.4956,4.79
215,oeiras,100,BR,1621115581,55,27.79,-7.0253,-42.1311,2.21
216,parabel,100,RU,1621115582,90,8.53,58.6978,81.4825,1.61
217,altay,9,CN,1621115582,44,11.36,47.8667,88.1167,1.83
218,srednekolymsk,6,RU,1621115583,85,1.08,67.45,153.6833,4.06
219,rantepao,99,ID,1621115583,98,20.37,-2.9701,119.8978,0.43
220,yekepa,99,LR,1621115583,97,21.51,7.5753,-8.5419,1.19
221,keti bandar,100,PK,1621115583,76,27.97,24.1447,67.4497,4.98
222,sorong,54,ID,1621115584,88,25.89,-0.8833,131.25,2.67
223,mackay,0,AU,1621115584,82,16.11,-21.15,149.2,2.57
224,evensk,100,RU,1621115584,88,0.3,61.95,159.2333,1.75
225,likhoslavl,4,RU,1621115585,96,11.13,57.1275,35.464,2.49
226,clyde river,1,CA,1621115585,58,-6.0,70.4692,-68.5914,1.54
227,dakoro,38,NE,1621115585,13,33.05,14.5106,6.765,4.09
228,pachino,59,IT,1621115586,58,14.0,36.7186,15.0907,1.03
229,kamariotissa,20,GR,1621115586,94,14.0,40.4833,25.4667,2.01
230,beringovskiy,100,RU,1621115586,96,0.08,63.05,179.3167,3.89
231,sao joao da barra,0,BR,1621115469,83,23.0,-21.6403,-41.0511,2.06
232,maltahohe,0,NA,1621115587,40,13.88,-24.8333,16.9833,3.82
233,mana,65,GF,1621115587,85,25.64,5.6592,-53.7767,5.21
234,mount gambier,75,AU,1621115588,100,8.0,-37.8333,140.7667,3.6
235,puerto cabezas,40,NI,1621115588,74,30.0,14.0351,-83.3888,3.09
236,hithadhoo,100,MV,1621115588,73,28.93,-0.6,73.0833,8.5
237,muros,100,ES,1621115589,94,16.67,42.7762,-9.0603,2.68
238,santa rosa,20,PH,1621115589,74,28.33,14.3122,121.1114,0.51
239,monrovia,75,LR,1621115589,94,25.0,6.3005,-10.7969,2.82
240,berlevag,100,NO,1621115590,83,1.59,70.8578,29.0864,7.77
241,iglesias,0,IT,1621115590,77,16.67,39.3114,8.535,2.06
242,markova,23,UA,1621115590,92,8.37,48.6758,24.4138,1.86
243,ayan,100,RU,1621115590,98,0.22,56.45,138.1667,15.44
244,nishihara,75,JP,1621115591,89,26.0,26.1842,127.7558,6.17
245,ostrovnoy,100,RU,1621115591,90,1.22,68.0531,39.5131,4.47
246,yangjiang,11,CN,1621115591,89,26.81,21.85,111.9667,3.92
247,arzgir,100,RU,1621115592,45,17.1,45.3728,44.2206,4.19
248,podosinovets,100,RU,1621115592,91,13.62,60.2776,47.0659,3.45
249,shahr-e babak,47,IR,1621115593,38,16.96,30.1165,55.1186,1.69
250,wexford,75,IE,1621115593,93,10.56,52.3342,-6.4575,4.63
251,dalbandin,92,PK,1621115593,13,26.37,28.8947,64.4101,0.1
252,lagoa,85,PT,1621115594,94,17.18,39.05,-27.9833,6.73
253,kalmar,58,SE,1621115594,93,7.78,56.6616,16.3616,1.54
254,kenora,75,CA,1621115594,48,18.0,49.8167,-94.4337,3.09
255,nueve de julio,63,AR,1621115341,56,14.44,-35.4444,-60.8831,0.89
256,college,75,US,1621115595,41,17.22,64.8569,-147.8028,6.17
257,misratah,11,LY,1621115595,63,18.52,32.3754,15.0925,4.83
258,kayes,99,ML,1621115595,12,39.62,14.0,-11.0,2.33
259,surt,4,LY,1621115596,69,19.12,31.2089,16.5887,5.9
260,ribeirao branco,37,BR,1621115596,98,12.8,-24.2208,-48.7656,1.89
261,road town,20,VG,1621115490,79,29.0,18.4167,-64.6167,3.09
262,goure,16,NE,1621115597,11,31.87,13.9835,10.2704,3.84
263,emerald,0,AU,1621115597,62,12.78,-23.5333,148.1667,1.54
264,lasa,75,IT,1621115597,100,15.0,46.6166,10.7002,1.25
265,oiso,100,JP,1621115598,84,20.56,35.3031,139.3028,0.89
266,westerly,1,US,1621115358,32,22.0,41.3776,-71.8273,3.6
267,hasaki,75,JP,1621115589,82,19.0,35.7333,140.8333,5.14
268,bara,97,NG,1621115598,54,29.3,10.3744,10.7288,3.09
269,zdvinsk,87,RU,1621115598,77,14.6,54.7021,78.661,2.3
